 PWM (µs), Current (A), Force (Kg f)
1100,17.03,-2.90
1104,17.08,-2.92
1108,16.76,-2.89
1112,16.52,-2.83
1116,16.08,-2.79
1120,15.69,-2.76
1124,15.31,-2.72
1128,15,-2.67
1132,14.51,-2.60
1136,14.17,-2.59
1140,13.82,-2.56
1144,13.46,-2.49
1148,13.08,-2.44
1152,12.8,-2.43
1156,12.4,-2.39
1160,12,-2.34
1164,11.66,-2.30
1168,11.31,-2.25
1172,11.1,-2.23
1176,10.74,-2.18
1180,10.5,-2.14
1184,10.11,-2.10
1188,9.84,-2.07
1192,9.5,-2.01
1196,9.2,-1.98
1200,8.9,-1.95
1204,8.6,-1.88
1208,8.3,-1.85
1212,8,-1.81
1216,7.7,-1.78
1220,7.4,-1.73
1224,7.1,-1.66
1228,6.9,-1.65
1232,6.6,-1.61
1236,6.4,-1.56
1240,6.2,-1.53
1244,5.99,-1.49
1248,5.77,-1.47
1252,5.5,-1.44
1256,5.32,-1.40
1260,5.17,-1.37
1264,4.9,-1.33
1268,4.7,-1.29
1272,4.56,-1.28
1276,4.3,-1.22
1280,4.1,-1.19
1284,3.9,-1.15
1288,3.73,-1.12
1292,3.6,-1.08
1296,3.4,-1.04
1300,3.3,-1.02
1304,3.1,-0.99
1308,2.98,-0.96
1312,2.8,-0.93
1316,2.7,-0.90
1320,2.41,-0.87
1324,2.3,-0.83
1328,2.1,-0.79
1332,2,-0.77
1336,1.9,-0.74
1340,1.8,-0.72
1344,1.7,-0.69
1348,1.6,-0.66
1352,1.5,-0.64
1356,1.31,-0.60
1360,1.3,-0.57
1364,1.2,-0.54
1368,1.1,-0.52
1372,1,-0.49
1376,0.9,-0.47
1380,0.8,-0.44
1384,0.8,-0.42
1388,0.7,-0.39
1392,0.6,-0.37
1396,0.5,-0.34
1400,0.5,-0.32
1404,0.41,-0.29
1408,0.4,-0.27
1412,0.4,-0.24
1416,0.3,-0.23
1420,0.29,-0.20
1424,0.2,-0.18
1428,0.2,-0.16
1432,0.2,-0.15
1436,0.1,-0.12
1440,0.1,-0.11
1444,0.1,-0.09
1448,0.05,-0.07
1452,0.05,-0.06
1456,0.05,-0.05
1460,0.05,-0.04
1464,0,-0.04
1468,0,-0.03
1472,0,-0.03
1476,0,-0.02
1480,0,-0.02
1484,0,-0.02
1488,0,-0.01
1492,0,-0.01
1496,0,0.00
1500,0,0.00
1504,0,0.00
1508,0,0.01
1512,0,0.01
1516,0,0.02
1520,0,0.02
1524,0,0.02
1528,0,0.03
1532,0,0.03
1536,0,0.04
1540,0.05,0.04
1544,0.05,0.05
1548,0.05,0.07
1552,0.1,0.10
1556,0.1,0.11
1560,0.1,0.13
1564,0.1,0.15
1568,0.2,0.18
1572,0.2,0.20
1576,0.2,0.22
1580,0.3,0.25
1584,0.3,0.28
1588,0.4,0.31
1592,0.4,0.33
1596,0.5,0.37
1600,0.5,0.39
1604,0.6,0.43
1608,0.7,0.46
1612,0.7,0.49
1616,0.8,0.52
1620,0.8,0.55
1624,1,0.59
1628,1,0.63
1632,1.1,0.65
1636,1.2,0.68
1640,1.3,0.71
1644,1.4,0.76
1648,1.5,0.79
1652,1.6,0.83
1656,1.7,0.86
1660,1.8,0.89
1664,2,0.93
1668,2.1,0.97
1672,2.2,1.00
1676,2.3,1.04
1680,2.5,1.08
1684,2.8,1.14
1688,2.9,1.16
1692,3,1.20
1696,3.2,1.23
1700,3.3,1.28
1704,3.5,1.31
1708,3.67,1.35
1712,3.8,1.40
1716,4,1.43
1720,4.2,1.48
1724,4.4,1.53
1728,4.6,1.56
1732,4.8,1.63
1736,5,1.67
1740,5.2,1.71
1744,5.4,1.77
1748,5.69,1.82
1752,5.8,1.85
1756,6,1.91
1760,6.3,1.92
1764,6.5,1.96
1768,6.7,2.03
1772,7,2.09
1776,7.2,2.13
1780,7.5,2.18
1784,7.8,2.24
1788,8,2.27
1792,8.32,2.33
1796,8.64,2.40
1800,8.9,2.46
1804,9.24,2.51
1808,9.5,2.56
1812,9.82,2.62
1816,10.14,2.65
1820,10.45,2.71
1824,10.72,2.78
1828,11.1,2.84
1832,11.32,2.87
1836,11.62,2.93
1840,12.01,3.01
1844,12.37,3.04
1848,12.61,3.08
1852,13.04,3.16
1856,13.44,3.23
1860,13.7,3.26
1864,14.11,3.32
1868,14.4,3.38
1872,14.76,3.40
1876,15.13,3.45
1880,15.52,3.50
1884,15.87,3.57
1888,16.3,3.64
1892,16.74,3.71
1896,16.86,3.69
1900,16.91,3.71
